company_name,company_website,CompanyName,Address,City,State,Zip,County,Country,Website,PhoneNumber,FaxNumber,SICCode,IndustryName,6DigitSICCode,NAICSCode,NAICSDescription,LinkedInIndustryName,StockTicker,Revenue,NumberEmployees,YrFounded,AlexaRank,CompanyLinkedIn,CompanyFacebook,CompanyTwitter,CompanyInstagram,CompanyYelp,CompanyYouTube,CompanyCrunchbase,LeadSource
StartupRanking,startupranking.com,Startup Ranking,Jr. Soledad 247 Dpto. 703,Lima,,LIMA 14,"",Peru,startupranking.com,0947539631,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"","","",2013,85819,https://www.linkedin.com/company/startupranking,https://www.facebook.com/StartupRanking,https://twitter.com/StartupRanking,,,,,UpLead
Propertyfinder FZ-LLC,propertyfinder.ae,propertyfinder FZ-LLC,1505 Shatha Tower Dubai Media City Po Box 50954,Dubai,,,"",United Arab Emirates,propertyfinder.ae,971 4 556 0300,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Marketing And Advertising",,54151,Computer Systems Design and Related Services,Marketing And Advertising,"","","",2007,26710,https://www.linkedin.com/company/propertyfinder-ae,https://www.facebook.com/propertyfinderuae,https://twitter.com/property_finder,,,,,UpLead
Sussex Payroll Services,sussexpayrollservices.co.uk,Sussex Payroll Services Ltd,The Mallings 112 Malling Street,Lewes,East Sussex,BN7 2RG,"",United Kingdom,sussexpayrollservices.co.uk,,"",73,"Business Services, Financial Services",,52,Finance and Insurance,Financial Services,"",$1 Million - $10 Million,1 to 10,2010,,https://www.linkedin.com/company/sussex-payroll-services-ltd,,,,,,,UpLead
Deko,dekopay.com,Deko,,London,,,"",United Kingdom,dekopay.com,,"",7299,"Miscellaneous Personal Services, Financial Services",,52,Finance and Insurance,Financial Services,"",$10 Million - $50 Million,50 to 200,2008,251053,https://www.linkedin.com/company/dekopay,,,,,,,UpLead
Pay4Later,pay4later.com,Pay4Later Limited,33 Street Mary Axe,London,,C3A 8AG,,United Kingdom,pay4later.com,44 80 0021 7150,,737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",,54151,Computer Systems Design and Related Services,Computer Software,,$10 Million - $50 Million,50 to 200,2007,,https://www.linkedin.com/company/1048818,,https://twitter.com/Pay4Later,,,,http://www.crunchbase.com/company/pay4later,UpLead
Contentsquare,contentsquare.com,Content Square SAS,50 Avenue Montaigne,Paris,,75008,"",France,contentsquare.com,33 1 83 75 88 00,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,54151,Computer Systems Design and Related Services,Internet,"",$10 Million - $50 Million,50 to 200,2009,,https://www.linkedin.com/company/content-square,https://www.facebook.com/pages/Content-Square/366046473430667,https://twitter.com/ContentSquare,,,https://youtube.com/user/Weballwin1,,UpLead
Asendia,asendia.com,Asendia Management SAS,111 Boulevard Brune Cedex 14,Paris,,75670,"",France,asendia.com,33 8 10 82 18 21,"",42,"Motor Freight Transportation, Logistics And Supply Chain",733104,4921,Couriers and Express Delivery Services,Logistics And Supply Chain,"",$200 Million - $1 Billion,"1,000 to 5,000",2012,613057,https://www.linkedin.com/company/asendia,https://www.facebook.com/asendiagroup,https://twitter.com/ASENDIAChannel,,,https://youtube.com/asendiachannel,,UpLead
Frichti,frichti.co,"Frichti, SAS",12 Bis Rue Girardon,Paris,,75018,"",France,frichti.co,33 7 83 91 83 94,"",7299,"Miscellaneous Personal Services, Restaurants",,54199,"All Other Professional, Scientific, and Technical Services",Restaurants,"",$10 Million - $50 Million,200 to 500,2015,104893,,https://facebook.com/frichti.co,https://twitter.com/frichtifrichti,,,,,UpLead
The State University of New York,suny.edu,The State University of New York,353 Broadway,Albany,NY,12246,Albany,United States,suny.edu,518.320.1100,(518) 320-1548,82,"Educational Services, Higher Education",822101,6113,"Colleges, Universities, and Professional Schools",Higher Education,"",Over $1 Billion,"Over 10,000",1948,6082,https://www.linkedin.com/company/state-university-of-new-york,https://www.facebook.com/generationsuny,https://twitter.com/SUNY,,,,,UpLead
Neurocom SA,neurocom.gr,Neurocom S.A.,Vasileos Pirrou 1 & Mikras Asias Halandri,Athens,,15233,Allegheny,Greece,neurocom.gr,30 210 68 40 024,,7372,"Prepackaged Software, Computer Software",,5112,Software Publishers,Computer Software,,$1 Million - $10 Million,10 to 50,1999,,https://www.linkedin.com/company/neurocom-sa,,,,,,,UpLead
NHS Wales,wales.nhs.uk,Ysbyty Gwynedd,Penrhosgarnedd,Bangor,,LL57 2PW,"",United Kingdom,wales.nhs.uk,44 1248 384384,"",80,"Health Services, Hospital & Health Care",,62,Health Care and Social Assistance,Hospital & Health Care,"",Over $1 Billion,"Over 10,000",,108346,https://www.linkedin.com/company/6689483,https://facebook.com/publichealthwales,,,,,,UpLead
TreasureHunt,treasurehuntstudios.com,TreasureHunt,Chausseestrasse 8,Berlin,,10115,"",Germany,treasurehuntstudios.com,,"",7372,"Prepackaged Software, Computer Games",,5112,Software Publishers,Computer Games,"",$1 Million - $10 Million,10 to 50,2014,,https://www.linkedin.com/company/9304480,,https://twitter.com/TreasureHunt_HQ,,,,,UpLead
Parcel2go,parcel2go.com,Parcel2Go,The Cube Coe Street,Bolton,,BL3 6BU,"",United Kingdom,parcel2go.com,+44 844 847 2600,"",4215,"Courier Services, Except By Air, Package/Freight Delivery",,49221,Local Messengers and Local Delivery,Package/Freight Delivery,"","","",1990,28909,,,https://twitter.com/Parcel2Go,,,,,UpLead
Fidelity,fidelity.com,Fidelity Investments Inc,245 Summer St Z1j,Boston,MA,02210,Suffolk,United States,fidelity.com,800.482.0156,"",6282,"Investment Advice, Financial Services",628203,523930,Investment Advice,Financial Services,"",Over $1 Billion,"Over 10,000",1946,540,https://www.linkedin.com/company/fidelity-investments,https://www.facebook.com/fidelityinvestments,https://twitter.com/Fidelity,,http://www.yelp.com/biz/fidelity-investments-boston,https://youtube.com/fidelityinvestments,https://www.crunchbase.com/organization/fidelity-investments,UpLead
DataRobot,datarobot.com,"DataRobot, Inc.",One International Pl 5th Fl,Boston,MA,2110,Suffolk,United States,datarobot.com,(617) 765-4500,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$10 Million - $50 Million,200 to 500,2012,118958,https://www.linkedin.com/company/datarobot,https://www.facebook.com/datarobotinc,https://twitter.com/DataRobot,https://www.instagram.com/datarobot/,,https://www.youtube.com/channel/UC5fFOfzgxQ9XVqNesi9U0MQ,https://www.crunchbase.com/organization/datarobot,UpLead
Att,att.com,AT&T Inc.,208 S Akard St,Dallas,TX,75202-4206,Dallas,United States,att.com,(210) 821-4105,(302) 655-5049,4812,"Radiotelephone Communication, Telecommunications",737417,517110,Wired Telecommunications Carriers,Telecommunications,T,Over $1 Billion,"Over 10,000",1983,670,https://www.linkedin.com/company/att,https://www.facebook.com/ATTSmallBiz,https://twitter.com/ATT,https://instagram.com/att/,http://www.yelp.com/biz/at-and-t-dallas-12,https://youtube.com/ShareATT#g,http://www.crunchbase.com/organization/at-t,UpLead
Facet,facetdata.com,SMB Associates LLC,,Denver,CO,,,United States,facetdata.com,,,73,"Business Services, Computer Software",,5415,Computer Systems Design and Related Services,Computer Software,,Under $1 Million,1 to 10,,,,,,,,,,UpLead
Guild Education,guildeducation.com,"Guild Education, Inc.",40 Ventura Ave,Palo Alto,CA,94306,Santa Clara,United States,guildeducation.com,(720) 709-2871,"",82,"Educational Services, Higher Education",,611,Educational Services,Higher Education,"",$10 Million - $50 Million,50 to 200,2015,168860,https://www.linkedin.com/company/guild-education,https://www.facebook.com/GuildEducation/,http://twitter.com/GuildEducation,,,,https://www.crunchbase.com/organization/guild-education,UpLead
Accenture,accenture.com,Accenture PLC,1 Grand Canal Sq Grand Canal Harbour Dublin,Dublin,,2,"",Ireland,accenture.com,+353 16462000,+353 16462020,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",573401,54151,Computer Systems Design and Related Services,Information Technology And Services,ACN,Over $1 Billion,"Over 10,000",1989,2073,https://www.linkedin.com/company/accenture,https://www.facebook.com/accenture,https://twitter.com/Accenture,https://instagram.com/accenturecareers_us/,http://www.yelp.com/biz/accenture-arlington-2,https://youtube.com/accenture,http://www.crunchbase.com/organization/accenture,UpLead
Vertice Cloud,verticecloud.com,Vertice Cloud,Vertice 31 Mespil Road,Dublin,,,,Ireland,verticecloud.com,,,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,,$1 Million - $10 Million,10 to 50,2009,,https://www.linkedin.com/company/vertice,,,,,,,UpLead
SplashBI,splashbi.com,SplashBI On-Demand Reporting and BI,,Duluth,GA,,Gwinnett,United States,splashbi.com,(678) 251-4678,"",7372,"Prepackaged Software, Computer Software",,5112,Software Publishers,Computer Software,"",$1 Million - $10 Million,10 to 50,2014,,https://www.linkedin.com/company/splash-bi,,,,,,,UpLead
Nuware Technology Corp.,nuware.com,Nuware Technology Corp.,100 Wood Ave S Ste 122,Iselin,NJ,08830,Middlesex,United States,nuware.com,(732) 494-0550,"",73,"Business Services, Computer Software",737311,5415,Computer Systems Design and Related Services,Computer Software,"",$1 Million - $10 Million,10 to 50,1994,,https://www.linkedin.com/company/nuware,https://www.facebook.com/NuWareCo,https://twitter.com/NuWareCo,,,https://youtube.com/NuWareCo,,UpLead
Sentinel,sentinelit.com,Sentinel,Northfields 20   26 St. John's Road,Tunbridge Wells,Kent,TN4 9NT,"",United Kingdom,sentinelit.com,441892550000,441892618558,7363,"Help Supply Services, Staffing And Recruiting",,5613,Employment Services,Staffing And Recruiting,"",$1 Million - $10 Million,10 to 50,1997,,https://www.linkedin.com/company/sentinel-it,,,,,,,UpLead
Shaftesbury PLC,shaftesbury.co.uk,Shaftesbury PLC,22 Ganton St,London W1 F,,7FD,"",United Kingdom,shaftesbury.co.uk,+44 20 7333 8118,"",5813,"Drinking Places, Real Estate",,721,Accommodation,Real Estate,SHB,$100 Million - $200 Million,10 to 50,1986,555117,https://www.linkedin.com/company/shaftesbury-plc,,https://twitter.com/CarnabyLondon,,,,,UpLead
SIMBA,simbasleep.com,Simba Sleep Limited,42 Brook St,London,,W1K 5DB,"",United Kingdom,simbasleep.com,44 20 8629 1450,"",,Retail,,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,Retail,"","","",2015,247662,,,,,,,,UpLead
BridgeU,bridge-u.com,BridgeU Limited,1st Floor Buckhurst House 42/44 Buckhurst Ave,Sevenoaks,,N13 1LZ,"",United Kingdom,bridge-u.com,19175875373,"",737,"Computer Programming, Data Processing, And Other Computerrelated, E Learning",,54151,Computer Systems Design and Related Services,E Learning,"",$1 Million - $10 Million,10 to 50,2013,300706,https://www.linkedin.com/company/5244860,https://www.facebook.com/yourBridgeU,https://twitter.com/BridgeU,,,,,UpLead
Simply Business,simplybusiness.co.uk,Xbridge Limited,One Finsbury Sq,London,,C2A 1AE,"",United Kingdom,simplybusiness.co.uk,44 33 3014 6683,4.42079E+11,63,"Insurance Carriers, Insurance",,524,Insurance Carriers and Related Activities,Insurance,"",$50 Million - $100 Million,200 to 500,2000,64399,https://linkedin.com/company/simply-business_39914,https://www.facebook.com/Simply.Business.Insurance,https://twitter.com/SB_help,,,,,UpLead
REED,reed.co.uk,Reed Online Ltd,Academy Court 94 Chancery Ln,London,,C2A 1DT,"",United Kingdom,reed.co.uk,44 8452 419 293,"",7389,"Business Services, Nec, Staffing And Recruiting",,54,"Professional, Scientific, and Technical Services",Staffing And Recruiting,"",$10 Million - $50 Million,200 to 500,2000,7738,https://www.linkedin.com/company/reed-online-limited,https://www.facebook.com/reedcouk,https://twitter.com/reedcouk,,,,http://www.crunchbase.com/organization/reed-co-uk,UpLead
Yieldify,yieldify.com,Yieldify Ltd.,1st Floor Providian House 16 18 Monument St,London,,C3R 8AJ,"",United Kingdom,yieldify.com,44 20 8123 9918,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",,54151,Computer Systems Design and Related Services,Computer Software,"",$10 Million - $50 Million,50 to 200,2013,203101,https://www.linkedin.com/company/yieldify,https://www.facebook.com/pages/Yieldify/427516487337763,https://twitter.com/Yieldify,,,,http://www.crunchbase.com/organization/yieldify,UpLead
Cytora,cytora.com,Cytora Limited,113 Shoreditch High St,London,,,"",United Kingdom,cytora.com,44 20 3004 9900,"",737,"Computer Programming, Data Processing, And Other Computerrelated, International Affairs",,54151,Computer Systems Design and Related Services,International Affairs,"",$1 Million - $10 Million,10 to 50,2013,,https://www.linkedin.com/company/cytora,,https://twitter.com/CytoraTech,,,,,UpLead
Metail,metail.com,Metail Limited,The Loom 14 Gower's Walk,London,,,"",United Kingdom,metail.com,44 2032 890 028,"",7372,"Prepackaged Software, Internet",,5112,Software Publishers,Internet,"",$10 Million - $50 Million,50 to 200,2007,,https://www.linkedin.com/company/metail,,https://twitter.com/Metail,https://instagram.com/metailagram/,,,http://www.crunchbase.com/organization/metail,UpLead
Permira,permira.com,Permira,80 Pall Mall,London,,SW1Y 5ES,"",United Kingdom,permira.com,4.42076E+11,"",62,"Security & Commodity Brokers, Dealers, Exchanges & Services, Venture Capital & Private Equity",679902,5239,Other Financial Investment Activities,Venture Capital & Private Equity,"","","",1985,262611,https://www.linkedin.com/company/permira,,http://twitter.com/PermiraNews,,,https://www.youtube.com/user/PermiraTV,http://www.crunchbase.com/organization/permira,UpLead
GoCardless,gocardless.com,GoCardless Ltd.,Floor 2 White Bear Yard 144a Clerkenwell Rd,London,,C1R 5DP,"",United Kingdom,gocardless.com,44 20 8123 7982,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Financial Services",,54151,Computer Systems Design and Related Services,Financial Services,"",$10 Million - $50 Million,50 to 200,2011,47075,https://www.linkedin.com/company/gocardless,,https://twitter.com/GoCardless,https://www.instagram.com/gocardless/,,,https://www.crunchbase.com/organization/gocardless,UpLead
Monzo,monzo.com,Monzo Bank,38 Finsbury Square  England,London,greater london,EC2A 1,"",United Kingdom,monzo.com,0800 8021456,"",6029,Banking,,52211,,Banking,"",$100 Million - $200 Million,200 to 500,2015,46362,https://www.linkedin.com/company/monzo-bank,"","","","","","",UpLead
Secret Spa,secretspa.co.uk,Secret Spa,,London,,,,United Kingdom,secretspa.co.uk,,,7299,"Miscellaneous Personal Services, Health, Wellness And Fitness",,446,Health and Personal Care Stores,"Health, Wellness And Fitness",,Under $1 Million,1 to 10,2015,,https://www.linkedin.com/company/secret-spa,,,,,,,UpLead
Octopus Investments Ltd.,octopusinvestments.com,Octopus Apollo VCT PLC,20 Old Bailey,London Ec4 M,,7AN,,United Kingdom,octopusinvestments.com,,,,"",,,,,OAPD,$1 Million - $10 Million,"",2006,,,,https://twitter.com/Octopus_UK,,,,https://www.crunchbase.com/organization/octopus-investments,UpLead
ZPG,zpg.co.uk,Zpg Plc,The Cooperage 5 Copper Row,London Se1,,2LH,"",United Kingdom,zpg.co.uk,,+44 20 7620 4770,65,Real Estate,,53,Real Estate and Rental and Leasing,Real Estate,ZPG,$50 Million - $100 Million,"",2008,,https://www.linkedin.com/company/zoopla-property-group-ltd,https://www.facebook.com/ZooplaUK/,http://twitter.com/Zoopla,https://www.instagram.com/zoopla/,,https://www.youtube.com/user/ZooplaUK,https://www.crunchbase.com/organization/zoopla,UpLead
CACI,caci.co.uk,CACI Limited,Kensington Village Avonmore Rd,London,,W14 8TS,"",United Kingdom,caci.co.uk,44 20 7602 6000,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$50 Million - $100 Million,"",1975,,https://www.linkedin.com/company/caci-limited,,https://twitter.com/CACI_LocStrat,,,https://youtube.com/caciltd,,UpLead
Vinterior,vinterior.co,Vinterior,International House 24 Holborn Viaduct,London,,EC1A 2BN,"",United Kingdom,vinterior.co,,"",5021,"Furniture, Design",,44211,Furniture Stores,Design,"",Under $1 Million,1 to 10,2015,275361,https://www.linkedin.com/company/vinterior,,,,,,,UpLead
MVF Global,mvfglobal.com,MVF Global Ltd.,Ryland House 24a Ryland Rd,London,,NW5 3EH,"",United Kingdom,mvfglobal.com,44 20 7424 3140,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,54151,Computer Systems Design and Related Services,Internet,"",$10 Million - $50 Million,"",2009,,https://www.linkedin.com/company/mvf,https://www.facebook.com/mvfglobal,https://twitter.com/MVFGlobal,,,,http://www.crunchbase.com/organization/mvf-global,UpLead
Barclays,barclays.com,Barclays,1 Churchill Pl. Canary Wharf,London,greater london,E14 5HP,"",United Kingdom,barclays.com,44 20 7116 1000,442071167665,6035,Financial Services,672211,523110,,Financial Services,"",Over $1 Billion,"Over 10,000",1713,29986,https://www.linkedin.com/company/1426,HTTPS://WWW.FACEBOOK.COM/BARCLAYSUK,https://twitter.com/Barclaysplc,,http://www.yelp.com/biz/sky-auditorium-new-york,https://www.youtube.com/user/Metlife,,UpLead
TES.com,tes.com,Tes Association Inc,Grand Central Station Inc,New York,NY,10163,New York,United States,tes.com,09176960834,,4899,"Communication Services, Nec, Nonprofit Organization Management",506330,813219,Other Grantmaking and Giving Services,Nonprofit Organization Management,,Under $1 Million,"",,4137,,https://www.facebook.com/blendspace,https://twitter.com/blendspace,,,,,UpLead
Lambert Labs,lambertlabs.com,Lambert Labs,,London,london,"","","",lambertlabs.com,,"","",Computer Software,,"",,Computer Software,"","","",2017,,https://www.linkedin.com/company/lambertlabs,"","","","","","",UpLead
Gravitas Recruitment Group,gravitasrecruitmentgroup.com,Gravitas Recruitment Group (UK) Ltd,3rd Floor 6 Bevis Marks,London,,EC3A 7BA,"",United Kingdom,gravitasrecruitmentgroup.com,4.42036E+11,4.42036E+11,7363,"Help Supply Services, Staffing And Recruiting",,5613,Employment Services,Staffing And Recruiting,"",$10 Million - $50 Million,50 to 200,2009,,https://www.linkedin.com/company/gravitas-recruitment-group-uk,https://www.facebook.com/gravitasrecruitmentgroup/,https://twitter.com/GravitasJobs,,,https://www.youtube.com/channel/UCxwggC5EenCf2SxVQkWUF-g,,UpLead
Tandem Bank,tandem.co.uk,Tandem Bank Limited,16 Upper Woburn Place 3rd Floor,London,,C1H 0BS,"",United Kingdom,tandem.co.uk,,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Banking",,54151,Computer Systems Design and Related Services,Banking,"","","",2013,249926,,,,,,,https://www.crunchbase.com/organization/tandem-5,UpLead
Onfido Ltd,onfido.com,Onfido Ltd.,40 Long Acre Covent Garden,London,,C2E 9LG,"",United Kingdom,onfido.com,44 20 8133 3628,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$10 Million - $50 Million,50 to 200,2012,57686,https://www.linkedin.com/company/2697456,https://www.facebook.com/Onfido,https://twitter.com/Onfido,,,,https://www.crunchbase.com/organization/onfido,UpLead
Change Management Group Ltd,cmg-change.com,Change Management Group,,London,greater london,"","","",cmg-change.com,442088199459,442087488951,"",Management Consulting,,"",,Management Consulting,"","","",,,https://www.linkedin.com/company/262668,,https://twitter.com/CMG_Change,,,,,UpLead
The Business of Fashion,businessoffashion.com,The Business of Fashion Ltd.,59 Ledbury Rd Flat 2,London,,W11 2AA,"",United Kingdom,businessoffashion.com,4.47868E+11,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Online Media",,54151,Computer Systems Design and Related Services,Online Media,"",$1 Million - $10 Million,10 to 50,2007,17150,https://www.linkedin.com/company/the-business-of-fashion,https://www.facebook.com/businessoffashion,https://twitter.com/BoF,https://instagram.com/bof,,https://youtube.com/user/BusinessofFashion,http://www.crunchbase.com/organization/the-business-of-fashion,UpLead
IG Group,ig.com,IG Index Limited,Cannon Bridge House 25 Dowgate Hill,London,,C4R 2YA,"",United Kingdom,ig.com,44 20 7896 0011,"",6211,"Security Brokers And Dealers, Financial Services",,523110,Investment Banking and Securities Dealing,Financial Services,"",$100 Million - $200 Million,"",1974,6367,https://www.linkedin.com/company/ig-index-limited,https://www.facebook.com/IGcom,https://twitter.com/IGcom,,,,,UpLead
Transparency International UK,transparency.org.uk,Transparency International UK,32   36 Loman St,London,London,SE1 0EH,"",United Kingdom,transparency.org.uk,,"",86,"Membership Organizations, Non Profit Organization Management",,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Non Profit Organization Management,"",$1 Million - $10 Million,10 to 50,1994,717135,https://www.linkedin.com/company/transparencyuk,https://www.facebook.com/transparencyuk,https://twitter.com/TransparencyUK,,,https://youtube.com/transparencyuk,,UpLead
Mumsnet Ltd.,mumsnet.com,Marks Mayhem,,"",,,"",United Kingdom,mumsnet.com,442030510167,"",7361,"Employment Agencies, Internet",,541612,Human Resources Consulting Services,Internet,"",Under $1 Million,1 to 10,2000,9506,https://www.linkedin.com/company/marks-mayhem,https://www.facebook.com/mumsnet,https://twitter.com/MumsnetTowers,,,https://youtube.com/user/Mumsnet,,UpLead
PlayStation,playstation.com,Sony Computer Entertainment Europe Limited,10 Great Marlborough St,London,,W1F 7LP,"",United Kingdom,playstation.com,44 20 3538 2665,"",7372,"Prepackaged Software, Entertainment",,334,Computer and Electronic Product Manufacturing,Entertainment,"",$200 Million - $1 Billion,"1,000 to 5,000",1995,,https://www.linkedin.com/company/sony-computer-entertainment-europe,https://www.facebook.com/PlayStation,https://twitter.com/PlayStation,,,https://youtube.com/user/PlayStation,,UpLead
Founders Forum,ff.co,Founders Forum Inc,Po Box 360066,Melbourne,FL,32936,Brevard,United States,ff.co,,"",86,"Membership Organizations, Management Consulting",,8132,Grantmaking and Giving Services,Management Consulting,"",Under $1 Million,"",2013,,https://www.linkedin.com/company/founders-forum,,,,,,,UpLead
Metabolic Healthcare Ltd,echo.co.uk,Metabolic Healthcare Ltd,228 230 Uxbridge Rd,London,,W12 7JD,"",United Kingdom,echo.co.uk,,"",80,"Health Services, Health, Wellness And Fitness",,62,Health Care and Social Assistance,"Health, Wellness And Fitness","","","",2015,,,,,,,,https://www.crunchbase.com/organization/echo-8,UpLead
Bought By Many Ltd,boughtbymany.com,Bought By Many Ltd.,31 35 Kirby St,London,,C1N 8TE,"",United Kingdom,boughtbymany.com,44 20 3008 4427,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Insurance",,54151,Computer Systems Design and Related Services,Insurance,"",$1 Million - $10 Million,10 to 50,2011,179146,https://www.linkedin.com/company/bought-by-many,,https://twitter.com/boughtbymany,https://www.instagram.com/boughtbymany/,,,https://www.crunchbase.com/organization/boughtbymany/,UpLead
Oddbox,oddbox.co.uk,Oddbox,,London,london,"","","",oddbox.co.uk,,"","",Food & Beverages,,"",,Food & Beverages,"","","",2016,713862,https://www.linkedin.com/company/oddbox,"","","","","","",UpLead
Peak,peak.net,Brainbow Limited,57 Rathbone Pl,London,,W1T 1JU,"",United Kingdom,peak.net,447877340184,"",7372,"Prepackaged Software, Health, Wellness And Fitness",,5112,Software Publishers,"Health, Wellness And Fitness","","","",2012,531354,,,,,,,https://www.crunchbase.com/organization/brainbow,UpLead
